List of unique combinations (for sequences that don't have unique peptides) :
Family|Genus|Name|Peptide nb
Bovidae|Bison|Bison Bison bison bison COL1A1 prot|25,28
Canidae|Canis|Canis Canis lupus dingo COL1A1 prot|7,121,83
Equidae|Equus|Equus Equus asinus COL1A1 prot X1|2,93
Equidae|Equus|Equus Equus caballus COL1A1 prot|2,93
Felidae|Felis|Felis Felis catus COL1A1 prot X1|2,75
Felidae|Panthera|Panthera Panthera pardus COL1A1 prot X1|2,75
Ursidae|Ursus|Ursus Ursus thibetanus thibetanus COL1A1 predicted protein|2,121


List of unique combinations for each sequence, only taking into consideration sequences that have different genus
Bovidae|Bison|Bison Bison bison bison COL1A1 prot|25,28
Canidae|Canis|Canis Canis lupus dingo COL1A1 prot|7,121,83
Canidae|Canis|Capreolus Capreolus capreolus COL1A1 predicted protein|
Canidae|Canis|Ceratotherium Ceratotherium simum simum COL1A1 prot|
Canidae|Canis|Cervus Cervus elaphus COL1A1 predicted protein|
Canidae|Canis|Diceros Diceros bicornis COL1A1 predicted protein|
Felidae|Felis|Felis Felis catus COL1A1 prot X1|2,75
Felidae|Panthera|Panthera Panthera pardus COL1A1 prot X1|2,75


List of unique combinations for each sequence, only taking into consideration sequences that have different family
Canidae|Canis|Canis Canis lupus dingo COL1A1 prot|7,121
Cervidae|Capreolus|Capreolus Capreolus capreolus COL1A1 predicted protein|25,121
Cervidae|Cervus|Cervus Cervus elaphus COL1A1 predicted protein|25,121
